"sentiment","text"
"0","jadi menteri pendidikan memang pusing banget sekarang buka sekolah nanti malah bikin cluster baru bikin pembelajaran online dituduh ngga mikirin yg ngga punya fasilitas kalau menurut kalian solusi paling benar gimana kira "
"0","salah satu curhatan anak sma ngerasain sekolah online gabayangin susahnya gimana anak kuliahan yang udah biasa belajar mandiri aja kesusahan gimana anak sekolah yang masih butuh dibimbing "
"0","ngga ada uang buat nabung karena ngga dapet uang jajan selama libur sekolah jadi harus nunggu masuk sekolah lagi buat nabung dan buat beli keperluan sekolah lainnya apalagi sekarang sekolah online jadi harus beli kuota setiap bulan tokopedia tokopediaxtwice "
"0","ribet banget soalnya sekolah gue tuh absen mulai jam pagi tugas mulai jam dan setiap pergantian pelajaran harus absen per pelajaran tugas berjibun deadline jaman cape juga ni sokolah online blm lagi ovehinknya yg makin bikin capek "
"0","sekarang mau sekolah ajaa cape kalo belajar online "
"0","gatau keknya engga hrsnya amin gua gamau panas an demi kuliah anjritt plis im not ready tp ppsmb aja online kok yakeles kuliah offline smoga aj nggak klo pake lab yg tatap muka itu br masuk akal hufita yakali nji jihad gw buat sekolah aja apalagi bnyk tmn dr zona iteng"
"1","alhamdulillah jangan lupa jaga kesehatan menurut testi sekolah online bikin puyeng wkwk"
"1"," tata kelola keuangan secara online ini sangat memudahkan dalam segi administratif yang tentu memudahkan pihak sekolah "
"1"," ya ampun keren betul good luck ya lumayan nih wkwk tadi pagi sekolah online kayak biasa trus dilanjut nangisin mapel wkwk sedikit menyedihkan but okelah"
"0","waktu belajar ini sih masalah utama kita semua ketika kita udah buat plan belajar eeh tiba tiba tugas online dari sekolah menimpaingin rasanya pake joki tugas ga si heehehe aku sefrustasi itu karena memang tugas yang diberi sebanyak itu dengan deadline yang mempet "
"0","trs lewat dari dua minggu itu langsung sekolah online kan ya sumpah aku stress banget kyk kalo disekolah dpt tugas lo bisa kan ya nawar jangan banyak gitu "
"0","percumah bgt sekolah online otak gue juga ga bisa kaya internet selalu online"
"1","aku tau kamu banyak tugas aku tau kamu banyak masalah aku tau kamu benci sekolah online aku tau kamu banyak beban tpi itu ga sebanding sama beban dan masalah orang tuamu jdi jangan ngeluh ya anjing "
"1"," bisa dikirim ke rumah bisa juga difoto scan gitu a kan skrng sekolah online jadi biasanya gurunya cuman minta fotonya aja "
"0","drama sekolah online lagi lagi kerjakan tugas disuruh ini itu pas dijawab lagi belajar dibilang belajar mulu gak selesai selesai alasan mulu pasti main hp kerjaannya begadang liatin hp muluu semuanya dilontarkan oleh orang tua ku ingin ku teriakkkk "
"1"," setiap kebijakan hendaklah dipikirkan resikonya dr segala aspek inilah salah satu resiko belajar online yg harus benar ada "
"0"," biasanya selalu nabung kak berhubung lagi sekolah online jadi gabis nabung hiks"
"0","sekolah online itu berat di kuotanya"
"1"," masamaa oh iya jangan lupa pakai app belajar online ngebantu banget especially untuk nilai sekolah utbk mangat dikk"
"0"," ketahuilah pak kami anak sekolah terbebani dengan adanya sekolah online ini kami belum merdeka "
"0","anak sekolah online butuh hp butuh waifi pemerentah pusat dan daerah mestinya memperhatikan waifi gratis angaran khan banyak apalagi resapan anggaran belum dibelanjakan subsidi silang buat waifi gratis "
"1"," kel kuningan barat mampang prapatan jaksel menyediakan akses wifi utk siswa siswi sekolah yg kesulitan mengakses inter "
"1","tuh kan kan sudah ku kata lebih enak sekolah online "
"1"," mauu saldo ovo buat beli kuota internet untuk sekolah online wish me luck "
"0","adeknya yg sekolah online kakaknya yang pusing"
"0","kemarin baca di facebook ibuk ngeluh krn sekolah online membingungkan beliau yang cuma lulusan smp dan buruh tani rela utang juragannya buat beli hp utk anaknya "
"1"," ooo jawa timur disini udah sekolah kok tapi online semoga cepet membaik ya di tulungagung semoga bisa cepet masuk sekolah kek biasa "
"1"," hikmah dari sekolah online mesti bener persiapan jd ibu yg baik melek teknologi dan cerdas kenapa karena pendidikan penting untuk anak "
"1","sekolah pendidikan negara harus dikelola secara online kayanya biar clear "
"0"," pokoknya kalo misal masuk gua gak mau gua kuat deh sekolah online asal guru tuh ngasih tugas sewajarnya dan ses "
"1"," karna masuk sekolah juga gak memungkinkan ini udah paling bener murid bisa aman terus gak terbebani sama pelajaran ka "
"1","karna masuk sekolah juga gak memungkinkan ini udah paling bener murid bisa aman terus gak terbebani sama pelajaran karna online class kaya gini murid murid tuh gak berasa dapet ilmu tapi dituntut buat dapet nilai aja "
"1"," aaaa sama mangkanya aku seneng kalo sekolah online karna walaupun gak ada temen ya gak masalah thankyortuu yaa semangat juga "
"1","tak semua orang tua mampu menyediakan kuota internet untuk anaknya belajar online menyikapi hal tersebut sejumlah warga kompleks dki pondok kelapa mendirikan tenda dan fasilitas internet agar anak anak sekitar bisa mengikuti pembelajaran dari sekolah masing masing pjj "
"1","positif sekolah online bisa melampiaskan emosi sekeras mungkin"
"0","merasa bodoh banget gara gara sekolah online "
"0","ponakan yang sekolah daring aku yang pusing sepupu yang punya tugas online aku yang ngerjain ponakan punya tugas yang gak tau gimana ngerjainnya aku yang di gupekin buat ngerjain seribet ini tumbuh lebih besar duluan "
"1","pembelajaran tatap muka secara terbatas di sekolah baik secara daring online maupun luring offline bakalan te p trus mengikuti protokol kesehatan yg telah di tetapkan gubernur jawa timur "
"1","dg adanya pembelajaran secara sistem daring online atau luring offline masing masing sekolah bakalan menyiapkan jadwal secara cermat kpn siswa yg dapet hadir belajar ke sekolah atau siswa yg belajar di rumah gubernur jatim "
"0","sekolah online hanya untuk menuntut tugas bukan menuntut ilmu"
"1","pembelajaran tatap muka secara terbatas di sekolah baik secara daring online maupun luring offline akan tetap terus mengikuti protokol kesehatan yang telah di tetapkan gubernur jawa timur "
"0","sekolah online susah ya capek pikiran "
"1","capek sekolah online karena banyak tugas tapi kalo sekolah tatap muka ntar suruh ngumpulin tugas "
"1","dengan adanya pembelajaran secara sistem daring online atau luring offline masing masing sekolah akan menyiapkan jadwal secara cermat kapan siswa yang dapat hadir belajar ke sekolah atau siswa yang belajar di rumah gubernur jatim "
"1","adanya metode dalam uji coba pembelajaran yang telah di terapkan ini menjadi pembelajaran tatap muka secara terbatas di sekolah baik secara daring online maupun luring offline khofifah indar parawansa "
"1","sekolah online kadang sucks kadang kaga gatau knp kadang enak kadang kaga tergantung gurunya sih kalo enak ngajarnya subject pelajarannya enak juga"
"1","bismmilahhirohmannirohim kalau uangnya sudah cukup pasti pasang wiffidan saya berjanji kalau sudah bisa terpasang akan aku gratiskan buat temen temen annakku yang kurang mampu agar tetap bisa sekolah online biar orang tuanya bisa terbantu bebannya aamiin bantu do anya kawan ku "
