"sentimen","tweet"
"0","Habis Pilkada mesti pemerintah jual vaksin kalau dah laku banyak ya bisa lah corona dianggap sepele"
"0","Pas mau pilkada tiba tiba corona menurun hahaha lucu kemaren maren kemana aja anjing Wkwk"
"1","Ayo Pilkada pesta demokrasi harus disukseskan"
"0","Masyarakat menilai pilkada serentak sangat rawan terhadap penyebaran virus corona "
"0","Musim pilkada corona menurun musim vaksin corona meningkat selucu itu negara ini"
"0","semakin sedikit tes semakin sedikit kasus semakin corona cepet selesai yok bisa yok pilkada dah dekat"
"1","Dalam situasi pandemi dituntut kesadaran dan kedisiplinan baik penyelenggara peserta Pilkada untuk taat Prokes"
"0","Meskipun sesak bernafas namun Pilkada berlanjut tidak takut issu Corona bahkan Gempa ditantang"
"0","Begini jika kota yang pemimpinnya mencalonkan cuma ingin menangkan Pilkada masa bodoh dengan penanganan corona"
"1","Melalui pilkada yang fokus prokes maka akan cepat penanganan corona Kita dorong cakada untuk kampanye penggunaan masker"
"1","Patuhi protokol kesehatan saat pilkada stop penyebaran virus corona"
"0","Daerah yang pilkada malah turun tuh tingkat infeksi coronanya Aneh kan"
"0","Pilkada Kan masih ada corona tolong jangan maksa deh tolong"
"0","Media ini menjelaskan begitu mengerikan covid 19 atau corona wuhan Resikonya nyawa Rakyat kenapa pilkada tak distop"
"0","Menteri mahfud Sentil Jakarta Tak Gelar Pilkada Tapi Juara Corona "
"1","Pelanggaran prokes calon kepala daerah di Pilkada 2020 tak boleh dibiarkan meningkat Komitmen cakada sangat penting mmemang "
"1","paslon harus mengupayakan pencegahan penyebaran Corona dan membantu masyarakat agar bisa keluar dari pandemi"
"1","Ketaatan dan sosialisasi prokes sangat penting dalam memastikan Pilkada 2020 aman dari penularan corona"
"0","Pil KB bisa menunda beranak tapi PILKADA tidak bisa di tunda demi ANAK "
"1","Perlukah pilkada ditunda jika pilpres Amerika saja jalan terus ayo beranikan diri"
"0","Tunda pilkada raja raja kecil yang ditawarkan partai partai politik dipilkada itu bukanlah solusi bagi persoalan2 rakyat"
"0","Tekan Penyebaran PPNI Jatim Minta Pemerintah Tunda Pilkada 2020"
"1","memang mau ditunda sampai kapan tidak ada kepastian pandemi berakhir saudara"
"0","Dari berbagai usulan seperti tunda pilkada tolak Omnibus Law cuma permintaan ini yang bisa difasilitasi Hehehe "
"1","tunda pilkada tidak akan menyelesaikan masalah justru akan menimbulkan masalah baru "
"0","Pilkada Tunda 50 pilkada terus 43 Suara kita selalu sama dengan suara rakyat "
"0","Mayoritas rakyat baik didaerah yang pilkada maupun tidak menginginkan pilkada ditunda ya betul tidak perlu lg perdebatan"
"0","Pilkada pak tunda ngebet banget kaya kuku cantengan ini tu bahaya banget pak"
"1","Hal tersebut tentu sudah diperhitungkan oleh bawaslu oleh karena itu bawaslu terapkan sanksi bagi pelangar prokes"
"1","Tidak ada alasan tunda pilkada pelanggar protokol kesehatan akan dapat sanksi"
"0","Dengan Maraknya praktik Patronase inilah yang dapat digunakan indikator mengapa Pilkada harus ditunda"
"1","Pilkada saat pandemi mungkin membahayakan tapi yang menolak pilkada karena pandemi belum tentu yang paling benar"
"1","sehabis pilkada corona bangkit lagi semoga tidak kita saling berdoa untuk keselamatan bersama"
"1","Katanya Setelah pilkada corona selesai kalau itu obatnya ya lanjut lah Aku dah tidak tahan di luar kenormalan ini"
"0","Pilkada bisa di selengarakan tahun depan tapi menghentikan tangis anggota keluarganya akibat Corona harus di lakukan secepat mungkin"
"1","Jika pilkada ini sukses dengan patuh prokes ini bagus buat kita semua"
"0","Jusuf Kalla menilai Pilkada 2020 lebih baik diundur hingga vaksin corona ditemukan"
"1","bagi daerah yang menggelar pilkada semoga sukses dan pilihlah yang benar2 mampu membawa daerah masing2 ke arah yang lebih baik"
"1","Jika pilkada ini sukses dengan patuh prokes ini bagus buat kita semua"
"1","pilkada sukses semoga pemimpin baru lahir untuk rakyat dan memberi solusi untuk corona"
"0","PKB menyampaikan untuk Tunda Pilkada Jika Ingin Turunkan Kasus Corona"
"0","memang bisa seanarkis apa sih indonesia kalau pilkada di tunda buat hal yang lebih urgent"
"0","pelanggar itu yang terdata sangat memungkinkan paslon di daerah yang jauh melakukan pelanggaran yang sama Tunda pilkada"
"1","tunda pilkada itu artinya pilkada hanya persoalan protokol kesehatan pilkada kali ini akan terapkan protokol kesehatan"
"0","Maruf Amin Lebih Pilih Tunda Pilkada 2020 karena kesehatan nomer satu"
"0","Negara harus menjamin kesehatan warganya hal tersebut diatur dalam konstitusi tidak ada alasan pilkada dilanjuntukan"
"0","peristiwa pendaftaran kepala daerah pilkada kemarin tampak nyata bahwa protokol kesehatan sama sekali diabaikan"
"1","Kita bersyukur Pilkada 2020 yang diikuti 270 daerah berjalan dengan aman dan terkendali tanpa adanya gangguan"
"1","syukurlah kemarin pilkada aman ya semoga pandemi cepet selesai"
"1","Alhamdulilah pelaksanaan pilkada serentak berjalan lancar aman damai dan sehat Ancaman pandemi covid 19 pun bisa dieleminir"
"1","Pilkada di tengah pandemi Covid 19 akan berjalan lancar asalkan mengikuti protokol"
"0","Tentang Pilkada serentak 2020 yang tetap di laksanakan Wapres Kalau saya sih lebih baik di tunda"
"0","Kalau kyai sudah bilang tunda ya tunda Jangan membangkang nanti kualat kamu Iya kamu yang ngotot ingin pilkada "
"0","mohon kepada pak LBP dan bu Mega supaya tunda dulu pilkada"
"0","minim dana sih mending tunda pilkada gak usah maksa nanti malah korupsi"
"0","Maruf Amin Isyaratkan Untuk Tunda Pilkada 2020 untuk kesehatan berasama"
"0","gimana pak jokowi Wapresnya minta di tunda PILKADA jangan karena Ada ANAK MANTU IPAR BESAN Maju di Pilkada kata Wapres"
"0","bersama para ulama yang mana pak ulama udah nyaranin tunda pilkada cabut omnibus dan tidak ada yang didengar"
"0","Maulid nabi dilarang Pilkades ditunda tapi Pilkada harus tetap jalan Gila kamu ndro "
"0","Pak Kiyai Maruf Amin menyarankan Pilkada di tunda dan setuju Liga 1 berjalan Auto jadi wapres 2 periode "
"0","Waduh pilkada lanjut pilkades tunda apa bedanya dong kalau kaya gini"
"0","mohon pak anda ngomong ke bos pilkada di tunda saja"
"0","Hayu urang gerak tunda pilkada ini butuh kebersamaan agar suara di dengar"
"0","wow wow Maulid ini pak Pilkades bapak tunda batalkan PILKADA gimana pak"
"1","Pilkada adalah PESTA rakyat yang membahagiakan Jadi jangan tunda kebahagiakan rakyat"
"1","pilkada tidak bisa ditunda lagi karena disaat seperti ini kita butuh pemimpin yang menghasilkan solusi "
"0","Demi Kemanusiaan Luhut Minta Demo Berhenti Sampai Kondisi Aman dari Corona Demi Kemanusiaan juga TUNDA PILKADA"
"0","Tunda PILKADA gak mau di masa pandemi Jagalah birahi politik opung "
"1","Jika Pilkada Di Tunda Siapa Kah Yang Akan Bertanggung Jawab Gus"
